,Drink,Tags,Category,IBA,Alcoholic type,Glass type,Inuctions,DrinkThumb,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,,,
178315,Munich Mule,German,Cocktail,,Alcoholic,Highball glass,"Fill glass with ice
Pour Gin and Lime juice
Fill glass with Ginger Beer
Garnish with Cucumer and Lime slice",https://www.thecocktaildb.com/images/media/drink/rj55pl1582476101.jpg,Gin,Lime juice,Ginger Beer,Cucumber,Lemon,,50 ml,20 ml,100 ml,1,1,,,,
14209,Mocha-Berry,,Coffee / Tea,,Alcoholic,Irish coffee cup,"pour 177 ml. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream.",https://www.thecocktaildb.com/images/media/drink/vtwyyx1441246448.jpg,Coffee,Chambord raspberry liqueur,Cocoa powder,Whipped cream,,,177 ml,59 ml,30 gr,15 ml,,,,,
178358,Mango Mojito,Fruity,Cocktail,,Alcoholic,Jar,"Squeeze the juice from 1½ limes and blend with the Mango juiceto give a smooth purée.
Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint.
Divide the Mango juicepurée between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like.",https://www.thecocktaildb.com/images/media/drink/wfqmgm1630406820.jpg,Lime,Mango juice,Mint,White Rum,Ice,Soda Water,3,25 ml,1,200 ml,3,7.38 ml,,,
15841,Mojito Extra,,Cocktail,,Alcoholic,Collins glass,"Put mint with Lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.",https://www.thecocktaildb.com/images/media/drink/vwxrsw1478251483.jpg,Mint,Lemon juice,Dark rum,Club soda,Bitters,,1,30 ml,125 ml,125 ml,0.4 ml,,,,
17189,Monkey Gland,"IBA,Classic",Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,"Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.",https://www.thecocktaildb.com/images/media/drink/94psp81504350690.jpg,Gin,Benedictine,Orange juice,Grenadine,,,59 ml,5 ml,14.75 ml,5 ml,,,,,
14842,Midnight Mint,,Cocktail,,Alcoholic,Cocktail glass,"If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass.",https://www.thecocktaildb.com/images/media/drink/svuvrq1441208310.jpg,Baileys irish cream,White Creme de Menthe,Cream,,,,29.5 ml,22.14 ml,22.14 ml ,,,,,,
17188,Mary Pickford,"IBA,Classic",Cocktail,Unforgettables,Alcoholic,Cocktail glass,Shake and strain into a chilled large cocktail glass,https://www.thecocktaildb.com/images/media/drink/f9erqb1504350557.jpg,Light rum,Pineapple juice,Maraschino liqueur,Grenadine,Maraschino cherry,,44.25 ml,29.5 ml,5 ml ,5 ml,1,,,,
11798,Monkey Wrench,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/bw2noj1582473243.jpg,Light rum,Grapefruit juice,Bitters,,,,44.25 ml,88.5 ml,0.8 ml,,,,,,
11003,Negroni,"IBA,Classic",Ordinary Drink,Unforgettables,Alcoholic,Old-fashioned glass,"Stir into glass over ice, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/qgdu971561574065.jpg,Gin,Campari,Vermouth,,,,29.5 ml,29.5 ml,29.5 ml,,,,,,
11844,New York Sour,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Shake blended whiskey, juice of Lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of Lemon and the cherry and serve.",https://www.thecocktaildb.com/images/media/drink/61wgch1504882795.jpg,Blended whiskey,Lemon juice ,Sugar,Red wine,Lemon,Cherry,59 ml,25 ml ,5 gr,25 ml,1,1,,,
13861,Nutty Irishman,,Shake,,Alcoholic,Highball glass,Serve over ice,https://www.thecocktaildb.com/images/media/drink/xspupx1441248014.jpg,Baileys irish cream,Frangelico,Milk,,,,29.5 ml,29.5 ml,29.5 ml,,,,,,
13192,National Aquarium,,Ordinary Drink,,Alcoholic,Collins glass,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,https://www.thecocktaildb.com/images/media/drink/dlw0om1503565021.jpg,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,14.75 ml,14.75 ml,14.75 ml,14.75 ml,59 ml,25 ml,,,
13204,New York Lemonade,,Cocktail,,Alcoholic,Cocktail glass,Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.,https://www.thecocktaildb.com/images/media/drink/b3n0ge1503565473.jpg,Absolut Citron,Grand Marnier,Lemon juice,Club soda,,,59 ml,29.5 ml,59 ml ,29.5 ml,,,,,
12746,Nuked Hot Chocolate,,Cocoa,,Non alcoholic,Coffee mug,"Mix with a bit of milk (29.5 ml or so) in coffee mug. Nuke mug for about 30-50 seconds. Stir until the heated cocoa dissolves. Fill mug with milk. Nuke for 1-2 minutes, depending on wattage and preferences as to burnt mouth parts.",https://www.thecocktaildb.com/images/media/drink/xcu6nb1487603142.jpg,Cocoa powder,Sugar,Vanilla extract,Milk,,,10 gr,5 gr,2.5 ml,159 ml,,,,,
11872,Orgasm,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/vr6kle1504886114.jpg,Creme de Cacao,Amaretto,Triple sec,Vodka,Light cream,,14.75 ml ,14.75 ml,14.75 ml,14.75 ml,29.5 ml,,,,
17827,Old Pal,,Cocktail,,Alcoholic,Nick and Nora glass,"Chill cocktail glass. Add ingredients to a mixing glass, and fill 2/3 full with ice. Stir about 20 seconds. Empty cocktail glass and strain into the glass. Garnish with a twist of Lemon peel.",https://www.thecocktaildb.com/images/media/drink/x03td31521761009.jpg,Rye whiskey,Campari,Vermouth,,,,59 ml,29.5 ml,29.5 ml,,,,,,
178371,Old Cuban,,Cocktail,,Alcoholic,Cocktail glass,"Shake a handful of mint, 2oz white rum, 1oz of sugar syrup, 1oz Lime juice and 1.6 ml angostura bitters with ice. Double strain into a glass and top with 2oz of prosecco.",https://www.thecocktaildb.com/images/media/drink/eo8gfx1699022995.jpg,White Rum,Sugar Syrup,Lime juice,Bitters,Prosecco,,59 ml,29.5 ml,29.5 ml,1.6 ml,59 ml,,,,
12618,Orangeade,,Cocktail,,Non alcoholic,Highball glass,"Place some ice cubes in a large tumbler or highball glass, add Lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw.",https://www.thecocktaildb.com/images/media/drink/ytsxxw1441167732.jpg,Lemon juice,Orange juice,Sugar Syrup,Soda Water,,,50 ml,150 ml,22 ml,78 ml ,,,,,
16995,Orange Whip,,Other / Unknown,,Alcoholic,Collins glass,Pour ingredients over ice and stir.,https://www.thecocktaildb.com/images/media/drink/ttyrxr1454514759.jpg,Orange juice,Rum,Vodka,Cream,Ice,,118 ml,29.5 ml,29.5 ml,3,3,,,,
15330,Orange Crush,,Shot,,Alcoholic,Shot glass,Add all ingredients to tumbler-Pour as shot,https://www.thecocktaildb.com/images/media/drink/zvoics1504885926.jpg,Vodka,Triple sec,Orange juice,,,,29.5 ml,29.5 ml,29.5 ml,,,,,,
11870,Orange Oasis,,Ordinary Drink,,Alcoholic,Highball glass,"Shake brandy, Gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with Ginger ale, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/su1olx1582473812.jpg,Cherry brandy,Gin,Orange juice,Ginger ale,,,14.75 ml,44.25 ml,118 ml,40 ml,,,,,
11001,Old Fashioned,"IBA,Classic,Alcoholic,Expensive,Savory",Cocktail,Unforgettables,Alcoholic,Old-fashioned glass,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.",https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg,Bourbon,Bitters,Sugar,Orange spiral,,,4.50 ml,1.6 ml,2 cubes,1,,,,,
13499,Oreo Mudslide,,Ordinary Drink,,Alcoholic,Collins glass,"Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry.",https://www.thecocktaildb.com/images/media/drink/tpwwut1468925017.jpg,Vodka,Kahlua,Baileys irish cream,Vanilla ice-cream,Oreo cookie,,29.5 ml,29.5 ml,29.5 ml,150 ml,1,,,,
17266,Oatmeal Cookie,,Cocktail,,Alcoholic,Mason jar,"Just mix it all together.
It's meant to be a shot, but it works just fine as a proper adult-sized drink over lots of ice.

Tastes like an oatmeal cookie.",https://www.thecocktaildb.com/images/media/drink/bsvmlg1515792693.jpg,Kahlua,Baileys irish cream,Butterscotch schnapps,Jägermeister,Goldschlager,,59 ml,59 ml,118 ml,29.5 ml,14.75 ml,,,,
14586,Orange Push-up,,Ordinary Drink,,Alcoholic,Hurricane glass,Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!,https://www.thecocktaildb.com/images/media/drink/mgf0y91503565781.jpg,Spiced rum,Grenadine,Orange juice,Sour mix,,,44.25 ml,44.25 ml,118 ml,5 ml,,,,,
178341,Orange Rosemary Collins,Citrus,Cocktail,,Alcoholic,Highball glass,Add the spirits to the bottom of the glass and top equally with the mixer drinks. Garnish with orange slices inside the glass as well as some rosemary on top.,https://www.thecocktaildb.com/images/media/drink/mokcas1604179977.jpg,Gin,Orange juice,Lemon juice,Rosemary Syrup,Soda Water,Rosemary,25 ml,84 ml,84 ml,25 ml,84 ml,1,,,
12748,Orange Scented Hot Chocolate,,Cocoa,,Non alcoholic,Coffee mug,"Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings.",https://www.thecocktaildb.com/images/media/drink/hdzwrh1487603131.jpg,Milk,Chocolate,Orange peel,Espresso,Nutmeg,,60 ml,118 ml ,1,5 ml,0.625 gr,,,,
13200,Owen's Grandmother's Revenge,,Ordinary Drink,,Alcoholic,Highball glass,Add ingredients and mix in blender.,https://www.thecocktaildb.com/images/media/drink/0wt4uo1503565321.jpg,Whiskey,Beer,Lemonade,Ice,,,159 ml,159 ml,159 ml ,30 ml,,,,,
17253,Paloma,,Cocktail,,Alcoholic,Collins glass,Stir together and serve over ice.,https://www.thecocktaildb.com/images/media/drink/samm5j1513706393.jpg,Grape Soda,Tequila,,,,,88.5 ml,44.25 ml,,,,,,,
17190,Paradise,IBA,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Shake together over ice. Strain into cocktail glass and serve chilled.,https://www.thecocktaildb.com/images/media/drink/ejozd71504351060.jpg,Gin,Apricot brandy,Orange juice,,,,206.5 ml,118 ml,88.5 ml,,,,,,
11936,Pink Gin,,Ordinary Drink,,Alcoholic,Wine glass,"Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the Gin into the glass. Do not add ice.",https://www.thecocktaildb.com/images/media/drink/qyr51e1504888618.jpg,Bitters,Gin,,,,,2.4 ml,59 ml,,,,,,,
17249,Pegu Club,,Cocktail,,Alcoholic,Cocktail glass,"Shake, strain, up, cocktail glass",https://www.thecocktaildb.com/images/media/drink/jfkemm1513703902.jpg,Gin,Orange Curacao,Lime juice,Bitters,Orange bitters,,44.25 ml,22.14 ml,22.14 ml,0.8 ml,0.8 ml,,,,
11938,Pink Lady,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/5ia6j21504887829.jpg,Gin,Grenadine,Light cream,Egg white,,,44.25 ml,5 ml,5 ml,1,,,,,
178354,Pink Moon,"Fresh, Summer, Colourful, Nature",Cocktail,,Alcoholic,Old-fashioned glass,"Slowly shake in a shaker with ice, strain into a square whiskey glass. Top with fresh ice. Add the blackberries to garnish. Add flowers and a green leaf for a special look!",https://www.thecocktaildb.com/images/media/drink/lnjoc81619696191.jpg,Gin,Coconut Liqueur,Elderflower cordial,Lime juice,Blackberries,,25 ml,25 ml,25 ml,30 ml,1,,,,
17829,Penicillin,,Cocktail,,Alcoholic,Old-fashioned glass,"Shake blended Scotch, Lemon juice, honey syrup and Ginger syrup with ice. Strain over large ice in chilled rocks glass. Float smoky Scotch on top (be sure to use a smoky Scotch such as an Islay single malt). Garnish with candied Ginger.",https://www.thecocktaildb.com/images/media/drink/hc9b1a1521853096.jpg,Blended Scotch,Lemon juice,Honey syrup,Ginger Syrup,Islay single malt Scotch,,59 ml,22.14 ml,10 ml,10 ml,7.38 ml,,,,
13214,Pisco Sour,"IBA,NewEra",Cocktail,New Era Drinks,Alcoholic,Cocktail glass,"Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.
",https://www.thecocktaildb.com/images/media/drink/tsssur1439907622.jpg,Pisco,Lemon juice,Sugar,Ice,Egg white,,59 ml,29.5 ml,15 gr,1,1,,,,
17192,Porto flip,"IBA,Classic",Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/64x5j41504351518.jpg,Brandy,Port,Egg yolk,,,,88.5 ml,265.5 ml,59 ml,,,,,,
17207,Pina Colada,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,Collins glass,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/upgsue1668419912.jpg,Light rum,Coconut milk,Pineapple,,,,88.5 ml,45 ml,45 ml,,,,,,
178338,Pure Passion,Passion,Cocktail,,Alcoholic,Old-fashioned glass,Mix up all ingredients with a cocktail stirrer and serve with crushed ice with mint and edible flour if available.,https://www.thecocktaildb.com/images/media/drink/4tymma1604179273.jpg,Rum,Passoa,Lime juice,Passion fruit syrup,Peach Bitters,Mint,40 ml,20 ml,30 ml,15 ml,0.8 ml,1,,,
13072,Popped cherry,,Ordinary Drink,,Alcoholic,Highball glass,Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,https://www.thecocktaildb.com/images/media/drink/sxvrwv1473344825.jpg,Vodka,Cherry liqueur,Cranberry juice,Orange juice,,,59 ml,59 ml,118 ml,118 ml,,,,,
11959,Poppy Cocktail,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/cslw1w1504389915.jpg,Gin,Creme de Cacao,,,,,44.25 ml,22.14 ml,,,,,,,
11965,Port Wine Flip,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/vrprxu1441553844.jpg,Port,Light cream,Powdered sugar,Egg,Nutmeg,,44.25 ml,10 ml,5 gr,1,0.8 gr,,,,
17191,Planter's Punch,"IBA,Classic",Punch / Party Drink,Unforgettables,Alcoholic,Collins glass,"Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Bitters, ""on top"". Garnish with cocktail cherry and pineapple.",https://www.thecocktaildb.com/images/media/drink/fdk8a31606854815.jpg,Dark rum,Orgeat Syrup,Orange juice,Pineapple juice,,,29.5 ml,14.75 ml,59 ml,29.5 ml,,,,,
178327,Pineapple Paloma,,Cocktail,,Alcoholic,Collins glass,"Rub the rim of each glass with lime slice and dip into salt.
Add ice, tequila, Grapefruit juice, Lime juice and top with pineapple soda.
Give it a quick stir.
Garnish with fresh pineapple or lime.",https://www.thecocktaildb.com/images/media/drink/pg8iw31593351601.jpg,Tequila,Grapefruit juice,Lime juice,Pineapple juice,Lime,Pepper,118 ml,118 ml,29.5 ml,236 ml,1,0.8 gr,,,
178357,Pornstar Martini,"Adult, Shot, Bubbly",Cocktail,,Alcoholic,Cocktail glass,Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass. Cut passion fruit in half and use as garnish. Pour prosecco into a chilled shot glass and serve alongside the martini.,https://www.thecocktaildb.com/images/media/drink/xjhjdf1630406071.jpg,Vodka,Passoa,Passion fruit juice,Lime,Prosecco,,30 ml,30 ml,10 ml,10 ml,25 ml,,,,
178368,Planter’s Punch,,Cocktail,,Alcoholic,Highball glass,Squeeze an orange and strain the juice. Put all the ingredients in a shaker filled with ice and shake for at least 12 seconds. Strain into a highball glass and decorate with a pineapple wedge or fruit of your choice.,https://www.thecocktaildb.com/images/media/drink/jn6o251643844541.jpg,Dark rum,Orange juice,Pineapple juice,Grenadine,Sugar Syrup,Bitters,4.50 ml,30 ml,3.50 ml,10 ml,10 ml,2.4 ml,,,
11961,Port And Starboard,,Ordinary Drink,,Alcoholic,Pousse cafe glass,"Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing.",https://www.thecocktaildb.com/images/media/drink/wxvupx1441553911.jpg,Grenadine,Green Creme de Menthe,,,,,15 ml,14.75 ml,,,,,,,
11963,Port Wine Cocktail,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/qruprq1441553976.jpg,Port,Brandy,,,,,73.75 ml,10 ml,,,,,,,
15092,Pysch Vitamin Light,,Ordinary Drink,,Non alcoholic,Collins glass,Shake with ice.,https://www.thecocktaildb.com/images/media/drink/xsqsxw1441553580.jpg,Orange juice,Apple juice,Pineapple juice,Ice,,,29.5 ml,29.5 ml,29.5 ml,2,,,,,
13535,Pink Panty Pulldowns,,Ordinary Drink,,Alcoholic,Collins glass,Shake well,https://www.thecocktaildb.com/images/media/drink/squsuy1468926657.jpg,Sprite,Pink Lemonade,Vodka,,,,88.5 ml,88.5 ml,44.25 ml,,,,,,
178323,Passion Fruit Martini,,Cocktail,,Alcoholic,Cocktail glass,Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.,https://www.thecocktaildb.com/images/media/drink/6trfve1582473527.jpg,Vodka,Sugar Syrup,Passion fruit juice,,,,25 ml,12.5 ml,20 ml,,,,,,
12718,Pineapple Gingerale Smoothie,,Ordinary Drink,,Non alcoholic,Highball glass,Throw everything into a blender and liquify.,https://www.thecocktaildb.com/images/media/drink/eg9i1d1487603469.jpg,Ginger,Pineapple juice ,Pineapple,,,,6.35 ml,29.5 ml,1,,,,,,
11993,Quentin,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.",https://www.thecocktaildb.com/images/media/drink/spxtqp1478963398.jpg,Dark rum,Kahlua,Light cream,Nutmeg,,,44.25 ml,14.75 ml,29.5 ml,0.625 gr,,,,,
11987,Queen Bee,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/rvvpxu1478963194.jpg,Coffee brandy,Lime vodka,Sherry ,,,,29.5 ml,44.25 ml,14.75 ml ,,,,,,
13198,Quick F**K,,Shot,,Alcoholic,Shot glass,"In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream",https://www.thecocktaildb.com/images/media/drink/wvtwpp1478963454.jpg,Kahlua,Midori melon liqueur,Baileys irish cream,,,,29.5 ml,29.5 ml,29.5 ml,,,,,,
15761,Quick-sand,,Ordinary Drink,,Alcoholic,Highball glass,"Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!",https://www.thecocktaildb.com/images/media/drink/vprxqv1478963533.jpg,Black Sambuca,Orange juice,,,,,25 ml,250 ml,,,,,,,
11989,Queen Charlotte,,Ordinary Drink,,Alcoholic,Collins glass,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with Lemon-lime soda, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/vqruyt1478963249.jpg,Red wine,Grenadine,Lemon-lime soda,,,,59 ml,29.5 ml,29.5 ml,,,,,,
11991,Queen Elizabeth,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/vpqspv1478963339.jpg,Vermouth,Gin,Benedictine,,,,14.75 ml,44.25 ml,15 ml,,,,,,
11983,Quaker's Cocktail,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/yrqppx1478962314.jpg,Light rum,Brandy,Lemon juice ,Raspberry syrup,,,22.14 ml,22.14 ml,12.5 ml,10 ml,,,,,
11985,Quarter Deck Cocktail,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/qrwvps1478963017.jpg,Light rum,Sherry,Lime juice ,,,,44.25 ml,9.83 ml ,25 ml,,,,,,
17208,Rose,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,Cocktail glass,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.",https://www.thecocktaildb.com/images/media/drink/8kxbvq1504371462.jpg,Vermouth,Gin,Apricot brandy,Lemon juice,Grenadine,Powdered sugar,14.75 ml,29.5 ml,14.75 ml,5 ml,5 ml,2.5 gr,,,
16031,Radler,,Ordinary Drink,,Alcoholic,Highball glass,"Pour beer into large mug, slowly add the 7-Up (or Sprite).",https://www.thecocktaildb.com/images/media/drink/xz8igv1504888995.jpg,Beer,7-Up,,,,,159 ml,159 ml,,,,,,,
12093,Rum Sour,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the rum, Lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",https://www.thecocktaildb.com/images/media/drink/bylfi21504886323.jpg,Light rum,Lemon juice,Sugar,Orange,Maraschino cherry,,59 ml,29.5 ml,10 gr,1,1,,,,
12097,Rum Toddy,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of Lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/athdk71504886286.jpg,Rum,Powdered sugar,Lemon peel,Water,,,59 ml ,10 gr,1,10 ml,,,,,
12055,Royal Fizz,,Ordinary Drink,,Alcoholic,Collins glass,Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.,https://www.thecocktaildb.com/images/media/drink/wrh44j1504390609.jpg,Gin,Sweet and sour,Egg,Coca-Cola,,,29.5 ml,59 ml,20 ml,21 ml,,,,,
12071,Rum Cooler,,Ordinary Drink,,Alcoholic,Collins glass,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the Lemon wedge.,https://www.thecocktaildb.com/images/media/drink/2hgwsb1504888674.jpg,Rum,Lemon-lime soda,Lemon,,,,59 ml ,118 ml,1,,,,,,
16250,Rum Runner,,Punch / Party Drink,,Alcoholic,Cocktail glass,Mix all ingredients in glass & add ice.,https://www.thecocktaildb.com/images/media/drink/vqws6t1504888857.jpg,Malibu rum,Blackberry brandy,Orange juice,Pineapple juice,Cranberry juice,,44.25 ml,29.5 ml,118 ml,118 ml,118 ml,,,,
12101,Rusty Nail,"IBA,Classic",Ordinary Drink,Unforgettables,Alcoholic,Old-fashioned glass,Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the Lemon twist.,https://www.thecocktaildb.com/images/media/drink/yqsvtw1478252982.jpg,Scotch,Drambuie,Lemon peel,,,,44.25 ml,14.75 ml,1,,,,,,
14087,Red Snapper,,Shot,,Alcoholic,Old-fashioned glass,"One shot each, shake n shoot",https://www.thecocktaildb.com/images/media/drink/7p607y1504735343.jpg,Crown Royal,Amaretto,Cranberry juice,,,,25 ml,25 ml,25 ml,,,,,,
17122,Royal Bitch,,Shot,,Alcoholic,Shot glass,Into a shot glass layer the Crown Royal on top of the Frangelico.,https://www.thecocktaildb.com/images/media/drink/qupuyr1441210090.jpg,Frangelico,Crown Royal,,,,,29.5 ml,29.5 ml,,,,,,,
15082,Royal Flush,,Shot,,Alcoholic,Old-fashioned glass,Pour all the ingredients into tumbler over ice. Strain into glass.,https://www.thecocktaildb.com/images/media/drink/7rnm8u1504888527.jpg,Crown Royal,Peach schnapps,Chambord raspberry liqueur,Cranberry juice,,,44.25 ml,29.5 ml,14.75 ml,29.5 ml,,,,,
12067,Rum Cobbler,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and Lemon slices.",https://www.thecocktaildb.com/images/media/drink/5vh9ld1504390683.jpg,Sugar,Club soda,Lemon,Dark rum,Maraschino cherry,Orange,5 gr ,88.5 ml,1,59 ml,1,1,,,
17114,Ruby Tuesday,,Cocktail,,Alcoholic,Highball glass,Pour Gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,https://www.thecocktaildb.com/images/media/drink/qsyqqq1441553437.jpg,Gin,Cranberry juice,Grenadine,,,,59 ml,147.5 ml,20 ml,,,,,,
12630,Rail Splitter,,Cocktail,,Non alcoholic,Highball glass,Mix sugar syrup with Lemon juice in a tall glass. Fill up with Ginger ale.,https://www.thecocktaildb.com/images/media/drink/stsuqq1441207660.jpg,Sugar Syrup,Lemon juice,Ginger ale,,,,10 ml,29.5 ml,118 ml,,,,,,
17245,Rosemary Blue,,Cocktail,,Alcoholic,Balloon glass,"1) Add the Bombay Sapphire, Blue Curacao, rosemary sprig and gently squeezed Lemon wedge to a balloon glass. Swirl well to combine.
2) Fill with cubed ice and top with the Fever-Tree Light Tonic Water.
3) Gently fold with a bar spoon to mix.",https://www.thecocktaildb.com/images/media/drink/qwc5f91512406543.jpg,Gin,Blue Curacao,Tonic Water,Rosemary,,,50 ml,15 ml,100 ml,1,,,,,
178367,Ramos Gin Fizz,,Cocktail,,Alcoholic,Highball glass,"Prepare all the ingredients on the counter to be able to work well and quickly, especially the cream and egg white.

Pour all the ingredients into a shaker.

Shake vigorously for 1 minute: cream and egg white must be mixed perfectly, so don't rush.

Now open the shaker and put some ice and shake for 1-2 minutes. It depends on how long you can resist!

Pour into a highball glass, add a splash of soda and garnish to taste.

Ramos Gin Fizz was once drunk as an invigorating drink or even as a breakfast, try it as an aperitif and after dinner and you will discover a little gem now lost.",https://www.thecocktaildb.com/images/media/drink/967t911643844053.jpg,Gin,Lemon juice,Sugar Syrup,Cream,Egg white,Vanilla extract,4.50 ml,30 ml,30 ml,60 ml,1,0.1 ml,,,
12057,Royal Gin Fizz,,Ordinary Drink,,Alcoholic,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/pe1x1c1504735672.jpg,Gin,Lemon juice ,Powdered sugar,Egg,Carbonated water,,59 ml,25 ml,25 gr,1,100 ml,,,,
